"IP";"GAME_NAME";"PING_AVG";"UPDATED_AT"
"104.18.30.87";"VALORANT";"40.98";"23:20:39"
"104.18.31.87";"VALORANT";"35.8";"23:20:39"
"72.5.161.228";"APEX LEGENDS";"75.35";"23:20:40"
"35.185.189.243";"APEX LEGENDS";"85.0";"23:20:40"
"35.200.131.39";"Fortnite";"38.04";"23:20:40"
"13.126.0.252";"PUBG MOBILE";"40.39";"23:20:40"
"35.154.63.252";"PUBG MOBILE";"37.1";"23:20:41"
"103.57.241.243";"CALL OF DUTY-WARZONE";"70.28";"23:20:41"
"45.117.204.250";"COUNTER STRIKE";"83.67";"23:20:41"
"13.126.158.63";"COUNTER STRIKE";"44.87";"23:20:41"
"185.60.114.159";"OVERWATCH";"163.16";"23:20:42"
"103.10.124.1";"DOTA 2";"82.28";"23:20:42"
